multiple_hosts,host_since,host_from_ireland,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_respond_within_an_hour,host_respond_within_a_few_hours,host_respond_within_a_day,host_verified_by_phone,host_verified_by_email,host_verified_by_work_email,bungalow,town_house,rental_unit,home,loft,condo,cottage,guesthouse,bed_and_breakfast,boat,serviced_apartment,guest_suite,cabin,villa,castle,tiny_home,entire_home_or_apt,private_room,shared_room,number_of_bathrooms,shared_bath,entertainment_amenities,self_care_amenities,storage_amenities,wifi,leisure_amenities,kitchen_amenities,safety_amenities,parking_amenities,long_term_stay,single_level_home,open_24_hours,self_check_in,dublin_city,south_dublin,fingal,dun_laoghaire_rathdown,city center,clean comfortable,definitely recommend,definitely stay,gave us,great host,great location,great place,great stay,highly recommend,location great,minute walk,place great,place stay,recommend place,temple bar,walking distance,would definitely,would highly,would recommend
0,1281049200.0,1,100.0,99.0,1,2,2,1,1,53.29178,-6.25792,2,1,2,70.0,3,1125,3,3,1125,1125,3.0,1125.0,1,2,11,18,104,258,31,7,1300579200.0,1662678000.0,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0.4746427193504338,0.1593652195507147,0.1218320416635233,0.2081166419003407,0.4646551175203121,0.0,0.0832002217049303,0.0704287744702374,0.1704354161152225,0.3482739773552287,0.1034645412912777,0.1323863104968141,0.0518378655121882,0.2684406484932896,0.2514628040580456,0.0295295053810816,0.1175743781035271,0.225386628113232,0.1058202738100613,0.2648143652157488
0,1281049200.0,1,100.0,99.0,1,2,2,1,1,53.29209,-6.25624,2,1,1,67.0,3,21,3,3,21,21,3.0,21.0,1,3,9,21,110,210,28,4,1306191600.0,1662850800.0,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0.2509435723237079,0.0268088482973782,0.1229694935416394,0.105029833296038,0.6448657108395374,0.0236565896874826,0.1469597465932768,0.1184771894310355,0.1228761716017111,0.4613772752794607,0.0,0.1603467593387319,0.0784827535672242,0.2483679659481124,0.1015242073837346,0.0,0.1661409112416589,0.2274908893564087,0.16021235422779,0.1457927633747112
0,1309474800.0,1,100.0,95.0,0,3,4,1,1,53.39027,-6.23547,1,1,1,45.0,2,21,1,2,21,21,2.0,21.0,1,1,16,36,290,355,44,6,1332201600.0,1661986800.0,4.74,4.77,4.71,4.86,4.9,4.63,4.74,0,3,0,3,0,2.78,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0.6883145922540558,0.121331342212391,0.1484092469479605,0.1188358644205373,0.0,0.0713765780389946,0.1108516058303215,0.1608610290426954,0.2409820053846153,0.2651554037279162,0.0196929601415715,0.0604747088043757,0.0394663140285618,0.238437481261749,0.2871735716758279,0.0,0.1074170924770576,0.22307502752256,0.0201413393255666,0.3115854957155152
0,1309734000.0,1,92.0,87.0,1,2,2,1,1,53.28326,-6.19188,6,2,4,80.0,1,12,1,1,12,12,1.0,12.0,1,2,2,2,74,326,41,1,1433113200.0,1661900400.0,4.84,4.88,4.85,4.95,4.97,4.77,4.85,0,2,0,2,0,3.68,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0.2997218736562182,0.2071878499742013,0.0950349850791625,0.1014632608531481,0.3851072121906169,0.5119131609820787,0.194700795956826,0.2197516331346737,0.1899257254531837,0.3056296870935548,0.181591720519952,0.0826142671235687,0.1415262970132507,0.2442963946252655,0.1961533559260358,0.0,0.018342759615931,0.0879063280370061,0.1650900371576557,0.1690103702908302
0,1309993200.0,1,100.0,91.0,0,5,5,1,1,53.33744,-6.32363,5,1,3,251.0,3,365,3,3,365,365,3.0,365.0,1,1,4,21,31,64,17,0,1319497200.0,1656370800.0,4.63,4.89,4.69,4.81,4.75,4.34,4.55,1,5,5,0,0,0.48,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.4207439202008842,0.0,0.0,0.0807115880820039,0.0,0.0727168981369071,0.1290665073443845,0.1456726236404606,0.0755406774336758,0.2701345317058988,0.0,0.0,0.0804148367966378,0.2776170240921156,0.2340529280936327,0.1832336522688648,0.0729561245104763,0.0699273735011662,0.246234677029984,0.6722184598543387
0,1309993200.0,1,100.0,91.0,0,5,5,1,1,53.33744,-6.32363,5,1,3,244.0,3,365,3,3,365,365,3.0,365.0,1,8,12,12,14,76,20,1,1327190400.0,1660518000.0,4.69,4.85,4.75,4.78,4.73,4.39,4.59,1,5,5,0,0,0.59,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.1806158132136585,0.1415009247135204,0.0,0.0692953048982231,0.0773566634246106,0.0624314271022692,0.4432425722804993,0.1876018508067348,0.1297115915911965,0.5218317984021137,0.2066996719570502,0.3526387766575837,0.0,0.2383493719619904,0.0669824057073098,0.0786580471486042,0.2505472640191254,0.2401458716224005,0.1409372757723639,0.1923787494078831
0,1311375600.0,1,100.0,96.0,0,2,3,1,1,53.33281,-6.2675,2,1,0,80.0,2,4,2,2,4,4,2.0,4.0,1,0,0,0,0,313,0,0,1346799600.0,1629327600.0,4.88,4.94,4.88,4.95,4.96,4.94,4.84,0,2,1,1,0,2.57,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.3274819977608462,0.2007870075985509,0.1534983049890394,0.0655524428047029,0.2195351443572824,0.0738241313814181,0.262063510387735,0.0739453633326187,0.1073672702458743,0.3702344895733363,0.1955351584586624,0.216834555046508,0.0326557134794902,0.2395675662409577,0.1900934121943269,0.2976378930383043,0.4147752020511263,0.1419842633768088,0.2333184010764341,0.1819877549557314
0,1305846000.0,1,100.0,67.0,0,2,6,1,1,53.3374,-6.22061,1,1,1,139.0,1,1125,1,1,1125,1125,1.0,1125.0,1,2,2,2,2,50,0,0,1313622000.0,1557961200.0,4.6,4.62,4.47,4.79,4.83,4.47,4.47,0,2,0,2,0,0.37,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0.2734132956053285,0.1071009051443327,0.0982522182031798,0.0,0.234202530859635,0.4725384209073348,0.0838716792590823,0.1893257641845271,0.1963553085643087,0.4388558516499076,0.0,0.1067637748530096,0.0,0.1804047113430154,0.2027937639141755,0.0,0.0,0.0,0.4266971352832248,0.2912198380870416
0,1317682800.0,1,100.0,92.0,0,3,5,1,1,53.39558,-6.17524,2,1,3,68.0,1,4,1,1,4,4,1.0,4.0,1,4,22,50,135,392,90,8,1324512000.0,1662591600.0,4.56,4.71,4.56,4.81,4.79,4.39,4.61,0,3,3,0,0,3.0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0.4374558942413744,0.1557812193516112,0.1572016162568541,0.1068040365102829,0.0851635095505957,0.1237176290344214,0.195189871778423,0.4268382928918499,0.0999614734682284,0.1531987045617905,0.0758532779962123,0.2484653664768816,0.2280243245281423,0.4723265276745377,0.147484560363329,0.0346384916464232,0.1241246392411103,0.171847928955704,0.0620642747497615,0.2400327940156033
0,1318546800.0,1,100.0,57.0,1,1,2,1,0,53.34636,-6.41734,1,1,1,30.0,30,180,30,30,180,180,30.0,180.0,1,4,4,14,47,43,3,0,1346626800.0,1656630000.0,4.93,4.93,4.9,4.98,5.0,4.66,4.85,0,1,0,1,0,0.35,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0.6321499711255701,0.106124791164262,0.1947135017054469,0.1039420735359353,0.0,0.3745853775431677,0.0831072756478667,0.0,0.0,0.2609136806722419,0.2066979144206959,0.0,0.0,0.0893802544923663,0.0,0.1179860674965143,0.1879088502399469,0.1801078722735146,0.2114041161057231,0.3847542272803768
0,1324166400.0,1,100.0,91.0,1,1,1,1,1,53.36949,-6.34889,9,4,5,121.0,2,1125,2,2,1125,1125,2.0,1125.0,1,0,0,0,25,362,30,0,1346540400.0,1659740400.0,4.92,4.91,4.78,4.95,4.95,4.94,4.84,0,1,1,0,0,2.97,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.2178075134960421,0.0365653372452391,0.1341772224557973,0.1790664052722685,0.3598160567236724,0.3387917783411927,0.2433944697577454,0.2100726536689317,0.1173159705678922,0.4494895406159312,0.0890223064960139,0.072900475076548,0.124885623843381,0.4157460101619502,0.2250165175165492,0.0203260722632282,0.1133021154507541,0.1706546491104759,0.1820984219529043,0.099425411744245
1,1325462400.0,1,100.0,99.0,0,8,8,1,1,53.35681,-6.29094,5,1,3,200.0,2,365,2,5,365,365,3.0,365.0,1,4,8,15,227,59,4,0,1330905600.0,1654038000.0,4.67,4.72,4.83,4.93,4.9,4.44,4.65,1,8,8,0,0,0.46,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.2587535905649404,0.0760188262722265,0.1394762872710165,0.2233659358143682,0.3324678065407828,0.134160644403509,0.2976551228098312,0.1343809593112637,0.0696852191364018,0.249195329956665,0.0,0.4546772135182562,0.2967262520996971,0.1280489123018542,0.2878807398930443,0.1690304832483122,0.1346020103756374,0.2580280988525774,0.0757160160183497,0.2067040446458468
1,1325462400.0,1,100.0,99.0,0,8,8,1,1,53.35681,-6.29094,2,1,2,101.0,2,365,2,5,365,365,3.0,365.0,1,0,0,0,0,105,21,4,1330387200.0,1662850800.0,4.61,4.69,4.75,4.83,4.91,4.47,4.48,1,8,8,0,0,0.82,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.4817361341098938,0.1029298405145679,0.1416386509931045,0.2520320872822164,0.0562703674562875,0.0,0.3224211245719113,0.1364643278683105,0.1415311609701824,0.2952351703361872,0.1002375747109154,0.2052116796500297,0.1004421776249714,0.303412928656212,0.292343884707209,0.05721701299539,0.1366888059869289,0.3493712329635928,0.0512599170188354,0.2332318561997048
0,1309993200.0,1,100.0,91.0,0,5,5,1,1,53.33744,-6.32363,4,1,3,212.0,3,365,3,3,365,365,3.0,365.0,1,0,7,21,90,35,7,1,1341183600.0,1660518000.0,4.48,4.5,4.59,4.85,4.79,4.41,4.5,1,5,5,0,0,0.28,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.2794780326926572,0.1642148576008622,0.301294820981404,0.0,0.0,0.0,0.1285981276041924,0.2902879612813589,0.150533083691532,0.1345771094817085,0.0,0.3273958900868396,0.1602460259663061,0.2766095575363638,0.3109380730128347,0.0,0.4361482092765615,0.2786944339179953,0.0,0.2976795523035799
0,1331856000.0,1,0.0,0.0,0,2,2,1,1,53.3379,-6.27517,4,2,2,164.0,1,30,1,2,30,30,1.6,30.0,1,0,0,0,0,92,0,0,1344812400.0,1576195200.0,4.67,4.77,4.52,4.91,4.83,4.77,4.56,0,2,2,0,0,0.75,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.2554099696208799,0.0857560102044272,0.0393354202538472,0.0839922267080862,0.0,0.037836290543673,0.5036722546400146,0.1894921212791032,0.0786111369565085,0.4568111249306245,0.0417564742974594,0.3419442759487208,0.0418417067698791,0.2166758756054784,0.324755128151006,0.1430110857775512,0.1898038279026744,0.1091545083137921,0.2562432397623232,0.0777268607053893
1,1332115200.0,1,0.0,0.0,0,1,3,1,1,53.35764,-6.24171,6,3,3,180.0,3,1125,3,3,1125,1125,3.0,1125.0,1,0,0,0,0,72,0,0,1344294000.0,1489881600.0,4.87,4.88,4.86,4.93,4.91,4.24,4.65,0,1,1,0,0,0.59,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.4636790733968837,0.1816314321779598,0.1110833506828943,0.0592985781888206,0.3309849174664771,0.0,0.1422372033407947,0.1070252694586804,0.2774976229365058,0.2977006281970489,0.0589602074635555,0.3621193920844002,0.177241667546493,0.1019822258542857,0.1146386880884353,0.0673106261076722,0.3216039646680482,0.1541263376289207,0.180907929030294,0.2743761242887948
